YEAR,No.,Facility,BCG < 1,BCG > 1,DPT/Hep B/HiB 1 < 1,DPT/Hep B/HiB 1 > 1,DPT/Hep B/HiB 2 < 1,DPT/Hep B/HiB 2 > 1,DPT/Hep B/HiB 3 < 1,DPT/Hep B/HiB 3 > 1,OPV Birth Dose,OPV Birth Dose1,OPV 1 < 1,OPV 1 > 1,OPV 2 <1,OPV 2 >1,OPV 3 <1,OPV 3 >1,Measles < 1,Measles > 1,Yellow Fever < 1,Yellow Fever > 1,Fully Immunized Child (FIC) < 1,Fully Immunized Child (FIC) > 1,TT1,TT2,TT3,TT4,TT5,Vitamin A > 1,Vitamin A > 11,Vitamin A Lactating Mothers
2007,11,Gotani Disp,543,8,514,18,454,35,373,25,161,161,446,11,446,19,332,19,324,173,0,0,281,280,200,172,247,2,6,163,132,32
2007,13,Jibana H/C,617,10,512,11,573,24,520,10,429,429,466,8,539,19,448,13,599,16,0,0,586,22,706,444,37,13,28,322,401,159
2007,17,Kinarani disp,296,1,174,2,182,0,158,1,106,106,197,3,206,0,160,3,96,7,0,0,87,6,234,89,44,1,0,112,64,41
2007,19,Kombeni Disp,370,2,441,0,466,2,449,2,208,208,415,0,403,0,439,2,481,20,0,0,481,23,219,257,76,68,32,361,387,144
2007,20,Lenga Disp,192,4,195,0,178,2,180,0,259,259,155,1,181,7,168,2,185,2,0,0,185,0,203,177,193,81,32,205,489,41
2007,23,Makanzani,478,4,468,1,447,4,410,50,234,234,426,50,399,80,371,74,423,92,0,0,480,36,248,111,342,81,34,365,476,410
2007,24,Mariakani S.D. Hospital,"2,546",10,"2,121",2,"2,043",0,"1,864",0,"1,451","1,451","2,084",0,"1,848",6,"1,634",0,"1,578",8,0,0,"1,579",14,"2,138","1,284",58,3,87,691,265,261
2007,26,Mgamboni Disp,74,1,72,0,67,0,65,1,52,52,50,4,59,10,49,5,69,2,0,0,69,2,188,67,12,13,4,19,35,29
2007,32,Neema M. Cl,38,0,53,3,43,9,25,1,11,11,42,1,42,0,29,1,35,5,0,0,37,22,53,20,0,0,0,38,30,8
2007,37,Rabai H/C,"1,315",3,"1,242",0,"1,107",0,"1,022",0,"1,087","1,087","1,201",8,"1,047",2,937,5,"1,031",1,0,0,"1,018",1,"2,002","1,299",171,29,0,948,603,790
2007,38,Ribe,128,0,233,0,157,0,206,36,11,11,203,30,138,36,206,12,143,0,0,0,144,0,328,282,244,3,84,286,916,107
2007,40,St. Luke's M. Hospital,"2,553",15,"2,570",34,"2,327",22,"2,229",20,642,642,"2,122",18,"2,095",223,"1,639",271,"1,458",23,0,0,"1,445",17,"1,841","1,301",265,24,2,298,165,229
2007,45,Tsangatsini Disp,805,0,749,1,771,2,725,1,192,192,753,0,773,4,717,2,640,18,0,0,638,57,"1,023",456,53,20,69,499,198,36
2007,50,Total,"10,158",60,"9,526",72,"8,985",100,"8,403",147,"4,947","4,947","8,724",134,"8,365",406,"7,300",409,"7,245",367,0,0,"7,206",481,"9,569","6,074","1,761",660,379,"4,356","4,372","2,324"
2008,1,Amani M. Cl,0,0,1,0,2,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,2,14,16,9,19,97,24,34,2
2008,2,Bamba H/C,"1,490",24,"1,319",21,"1,177",31,934,37,614,614,"1,310",17,"1,172",21,"1,070",28,"1,199",79,0,0,"1,142",111,514,409,285,220,396,"1,681",673,791
2008,3,Bamba m. cl,18,0,15,0,6,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,13,0,0,0,0,4,0,0
2008,4,Bomani Dispensary,335,0,351,0,281,0,276,0,195,195,322,0,305,0,294,0,333,1,0,0,333,1,377,604,51,25,11,497,169,474
2008,6,Chasimba H/c,973,4,993,0,935,1,810,2,227,227,962,0,874,1,747,2,826,42,0,0,818,42,275,221,266,107,176,895,874,369
2008,7,Chumani m. cl,212,0,218,0,200,0,159,2,57,57,221,1,179,0,135,2,173,14,0,0,163,17,98,93,10,5,19,158,31,165
2008,8,Dida Disp,365,1,378,0,349,3,345,0,192,192,403,16,369,34,365,51,410,65,0,0,405,22,450,336,126,14,7,269,672,213
2008,9,Dzikundze Disp.,646,4,559,0,509,0,455,0,226,226,491,0,498,0,450,1,580,10,0,0,605,34,578,321,326,60,252,421,853,211
2008,10,Ganze Disp,776,4,781,6,690,4,617,1,384,384,677,1,612,0,562,0,629,30,0,0,610,25,815,472,352,468,125,757,"1,505",429
2008,13,Jaribuni Disp,503,0,509,0,481,0,434,0,214,214,468,0,461,0,333,0,414,0,0,0,453,3,88,93,126,183,299,625,412,26
2008,15,Junju Disp,353,9,383,2,343,6,341,4,134,134,355,0,340,2,305,1,322,8,0,0,325,8,"2,097",983,511,142,154,410,814,213
2008,16,kadaina community dispensary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,17,Kadzinuni disp,208,0,224,0,197,0,208,0,116,116,235,19,196,24,197,18,190,5,0,18,190,6,113,53,86,229,20,168,655,105
2008,18,Kanamai Health Service,10,0,12,0,18,0,24,3,4,4,20,0,10,0,4,0,6,0,0,0,11,4,12,3,0,0,0,3,5,0
2008,19,Kilifi D. Hospital,"4,433",24,"3,415",3,"2,988",5,"2,567",7,"2,293","2,293","3,249",3,"2,794",4,"2,227",12,"2,915",52,0,0,"2,886",65,"1,118",730,681,551,608,"3,185","3,963","3,334"
2008,21,Kizingo Disp,622,0,560,9,457,3,441,2,168,168,552,1,464,0,405,4,594,11,0,0,594,11,117,92,105,135,232,"1,133",602,69
2008,24,Maamba m. cl,94,1,111,1,109,0,98,0,24,24,65,0,58,0,56,1,136,3,0,0,127,3,91,11,4,0,0,74,24,2
2008,25,Madamani disp,191,1,183,1,200,0,180,0,90,90,216,1,221,0,207,0,214,7,0,0,213,16,354,141,32,94,206,161,495,130
2008,28,Matsangoni Disp,702,1,706,3,640,0,481,3,206,206,652,3,566,0,430,8,625,20,0,0,579,39,481,295,227,128,71,841,"1,087",59
2008,30,Mirihini Disp,360,5,330,2,270,5,292,7,146,146,309,4,289,6,273,20,332,36,3,0,293,62,154,78,60,44,81,578,710,267
2008,31,Mryachakwe,266,9,280,3,302,0,291,5,135,135,273,1,284,1,287,6,239,23,0,0,252,26,184,142,155,85,105,437,"1,237",153
2008,32,Msumarini dispensary,168,0,194,0,164,0,140,8,114,114,154,7,165,1,113,19,135,0,0,0,154,0,174,108,32,0,0,432,650,177
2008,33,Mtepeni Disp,207,3,224,1,196,1,173,0,104,104,227,4,210,6,178,7,184,19,0,0,182,19,147,109,85,60,49,196,909,92
2008,34,Mtwapa Disp,"1,708",10,"1,586",123,"1,279",131,"1,051",26,772,772,"1,266",103,981,123,780,163,"1,551",40,0,0,"1,711",52,"2,032","1,323",211,74,22,"2,070","5,899","1,326"
2008,36,Ngerenya Disp,651,1,707,1,597,2,411,0,140,140,552,65,505,32,321,19,504,36,0,0,504,36,"1,051",198,104,83,111,728,"1,302",389
2008,37,Palakumi disp,270,0,304,1,321,0,221,0,115,115,358,1,419,38,319,29,177,7,0,28,188,11,223,149,17,8,77,181,15,7
2008,38,Pingilikani Disp,447,2,424,2,432,0,376,0,121,121,422,2,419,0,408,0,371,11,0,0,371,11,240,143,106,54,172,204,246,39
2008,41,Roka Maweni,334,8,359,0,312,1,284,5,172,172,296,0,334,1,289,3,309,19,0,0,256,32,220,227,352,62,37,416,"1,149",213
2008,43,St. Theresa,143,7,150,5,123,6,99,22,32,32,137,6,152,3,85,5,95,5,0,0,89,0,46,43,48,37,27,79,19,111
2008,44,Sunn'sand m. cl,38,0,39,0,51,0,50,0,21,21,45,0,43,0,36,1,78,0,0,0,72,0,75,49,74,18,3,317,117,94
2008,45,Takaungu Disp,541,1,482,0,343,0,380,0,209,209,374,0,322,0,346,58,448,7,23,72,448,73,288,237,232,111,438,"1,822","1,891",443
2008,46,Tezo Community Health Care,181,1,164,2,166,1,128,1,40,40,164,2,168,2,125,0,161,8,0,0,94,13,81,65,12,2,0,13,63,39
2008,48,Vipingo H/C,"1,188",5,965,1,823,4,"1,749",92,721,721,834,111,659,124,566,71,675,17,0,0,731,37,"2,678","1,327",81,32,49,691,670,507
2008,49,Vitengeni H/C,285,15,276,5,265,4,269,15,299,299,273,6,254,7,269,3,238,24,0,0,229,22,447,191,42,25,14,237,719,159
2008,50,Vutakaka med clinic,3,0,8,0,11,0,2,0,2,2,3,0,5,0,4,0,21,0,0,0,13,0,4,8,1,0,1,13,45,20
2008,51,Wananchi N. Home,2,0,24,0,21,0,22,0,14,14,25,0,22,0,20,0,52,1,0,0,52,2,27,10,6,14,8,38,62,18
2008,52,Total,"18,723",140,"17,234",192,"15,258",208,"14,313",242,"8,301","8,301","15,911",374,"14,352",430,"12,207",532,"15,148",600,26,118,"15,105",805,"15,676","9,280","4,815","3,089","3,867","19,758","28,571","10,646"
2008,5,Bwagamoyo Dispensary,67,0,82,0,82,0,83,0,61,61,82,0,84,0,95,0,117,3,0,0,117,2,182,91,21,16,2,97,184,30
2008,11,Giryama m. disp,13,0,7,0,10,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,2,0
2008,12,Gotani Disp,191,0,204,14,198,4,159,10,78,78,113,3,153,12,107,25,178,93,0,0,181,194,259,123,169,8,4,265,397,175
2008,14,Jibana H/C,213,2,244,0,237,0,187,0,208,208,256,0,243,0,214,0,223,0,0,0,219,0,447,203,61,27,60,175,448,49
2008,20,Kinarani disp,198,0,207,0,188,0,196,0,68,68,191,0,176,0,189,0,191,7,0,0,195,6,310,147,35,0,0,213,127,32
2008,22,Kombeni Disp,138,1,204,0,176,0,191,0,129,129,187,0,185,0,210,0,223,2,0,0,267,2,186,156,75,19,7,356,284,174
2008,23,Lenga Disp,78,2,110,2,89,0,77,1,80,80,111,2,90,0,80,1,94,7,0,0,94,1,99,102,59,175,7,180,637,13
2008,26,Makanzani,257,0,283,7,259,3,259,2,236,236,239,1,217,1,217,17,333,11,0,0,340,13,125,78,84,53,42,502,653,329
2008,27,Mariakani S.D. Hospital,"1,120",2,799,80,651,5,656,17,645,645,808,12,635,6,700,7,905,23,0,0,931,39,625,365,140,121,108,849,710,679
2008,29,Mgamboni Disp,63,0,68,0,38,0,44,0,37,37,65,0,40,0,46,0,53,0,0,0,51,0,331,65,6,0,0,50,57,97
2008,35,Neema M. Cl,6,0,7,0,23,0,13,0,10,10,8,0,26,0,19,0,20,0,0,0,20,0,20,11,2,0,0,38,18,9
2008,39,Rabai H/C,453,0,483,0,439,0,444,1,442,442,450,5,408,5,417,2,589,13,0,0,569,6,"1,243",922,201,29,3,574,544,440
2008,40,Ribe,45,0,71,0,68,1,74,0,41,41,71,0,67,1,77,0,77,4,0,0,73,10,77,51,121,133,15,148,521,43
2008,42,St. Luke's M. Hospital,816,7,799,4,665,2,588,7,358,358,725,6,806,13,787,7,977,18,0,0,977,18,"1,289",660,217,259,24,"1,160",444,203
2008,47,Tsangatsini Disp,314,0,347,0,305,0,299,3,137,137,367,0,346,0,325,7,324,32,0,0,378,43,581,293,23,7,20,356,206,32
2008,51,Wananchi N. Home,2,0,24,0,21,0,22,0,14,14,25,0,22,0,20,0,52,1,0,0,52,2,27,10,6,14,8,38,62,18
2008,52,Total,"3,974",14,"3,939",107,"3,449",15,"3,295",41,"2,544","2,544","3,698",29,"3,498",38,"3,503",66,"4,356",215,0,0,"4,464",336,"5,801","3,277","1,220",861,300,"5,012","5,294","2,323"
